idNote;idEmploye;date;idDepense;montantHT;tva;montantTTC;note;departementImputation
101;7;01/03/2026;2;20;4;24;OK;3
102;1;01/03/2026;1;120;24;144;OK;1
103;2;02/03/2026;2;45;9;54;FRAUDE;2
104;6;02/03/2026;3;350;70;420;OK;2
105;4;03/03/2026;4;15;3;18;OK;4
106;1;04/03/2026;2;25;5;30;OK;1
107;8;05/03/2026;1;190;38;228;FRAUDE;4
108;2;05/03/2026;3;550;110;660;FRAUDE;2
109;3;06/03/2026;2;22;4,4;26,4;OK;3
110;9;07/03/2026;2;32;6,4;38,4;FRAUDE;1
111;1;08/03/2026;4;10;2;12;OK;1
112;5;08/03/2026;3;140;28;168;OK;1
113;11;09/03/2026;1;145;29;174;FRAUDE;3
114;3;10/03/2026;2;18;3,6;21,6;OK;3
115;4;10/03/2026;2;29;5,8;34,8;FRAUDE;4
116;9;11/03/2026;1;110;22;132;OK;1
117;5;12/03/2026;3;490;98;588;FRAUDE;1
118;10;12/03/2026;4;60;12;72;FRAUDE;2
119;3;13/03/2026;2;21;4,2;25,2;OK;3
120;4;14/03/2026;1;130;26;156;FRAUDE;4
121;6;15/03/2026;2;24;4,8;28,8;OK;2
122;5;15/03/2026;3;310;62;372;OK;1
123;2;16/03/2026;1;165;33;198;FRAUDE;2
124;3;17/03/2026;2;35;7;42;FRAUDE;3
125;8;18/03/2026;4;5;1;6;OK;4
126;1;19/03/2026;3;210;42;252;OK;1
127;5;20/03/2026;2;19;3,8;22,8;OK;1
128;2;20/03/2026;2;20;4;24;OK;2
129;3;21/03/2026;1;140;28;168;FRAUDE;3
130;4;22/03/2026;3;600;120;720;FRAUDE;4
131;1;23/03/2026;2;26;5,2;31,2;FRAUDE;1
132;5;24/03/2026;1;115;23;138;OK;1
133;2;25/03/2026;2;23;4,6;27,6;OK;2
134;5;26/03/2026;4;40;8;48;OK;1
135;4;27/03/2026;1;175;35;210;FRAUDE;4
136;1;28/03/2026;2;27;5,4;32,4;FRAUDE;1
137;5;29/03/2026;3;180;36;216;OK;1
138;8;30/03/2026;1;125;25;150;OK;4
139;3;31/03/2026;2;20;4;24;OK;3
140;4;01/04/2026;4;55;11;66;FRAUDE;4
141;1;02/04/2026;1;148;29,6;177,6;FRAUDE;1
142;5;03/04/2026;2;38;7,6;45,6;FRAUDE;1
143;2;04/04/2026;3;450;90;540;FRAUDE;2
144;3;05/04/2026;2;15;3;18;OK;3
145;4;06/04/2026;1;110;22;132;OK;4
146;7;07/04/2026;4;12;2,4;14,4;OK;3
147;5;08/04/2026;3;520;104;624;FRAUDE;1
148;11;09/04/2026;2;29;5,8;34,8;FRAUDE;3
149;10;10/04/2026;1;155;31;186;FRAUDE;2
150;4;11/04/2026;3;290;58;348;OK;4
